City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
387,sagaing,21.8787,95.9797,25.49,86,35,1.75,MM,1729870120
388,saldanha,-33.0117,17.9442,21.03,73,0,10.89,ZA,1729870121
389,lahnstein,50.3,7.6167,18.74,73,61,1.94,DE,1729870122
390,karamay,45.6004,84.8661,11.19,65,10,2.84,CN,1729870124
391,merizo village,13.2658,144.6691,27.31,92,100,7.32,GU,1729870125
392,ugoofaaru,5.6667,73.0,27.77,82,100,5.54,MV,1729870126
393,le port,-20.9373,55.2919,24.12,77,46,2.49,RE,1729870127
394,dadukou,26.5479,101.7054,21.83,75,66,0.77,CN,1729870129
395,nchelenge,-9.3451,28.734,30.72,43,69,1.06,ZM,1729870130
396,cill airne,52.05,-9.5167,14.03,82,40,4.63,IE,1729870131
397,playa del ingles,27.7567,-15.5787,24.86,71,8,0.45,ES,1729870132
398,labasa,-16.4167,179.3833,24.38,91,61,3.33,FJ,1729870134
399,prince rupert,54.3161,-130.3201,6.83,65,100,8.23,CA,1729870135
400,ouargaye,11.5033,0.0572,35.48,25,99,2.41,BF,1729870136
401,tsiombe,-25.3,45.4833,23.73,60,91,1.42,MG,1729870138
402,jabor,5.921,169.6434,28.39,72,100,2.51,MH,1729870139
403,ebaye,8.7748,167.7392,29.01,74,40,4.12,MH,1729870140
404,bel ombre,-4.6167,55.4167,27.91,74,20,1.54,SC,1729870142
405,tolanaro,-25.0319,46.9987,26.04,73,75,8.23,MG,1729870143
406,arraial do cabo,-22.9661,-42.0278,33.98,43,40,3.6,BR,1729870144
407,khanty-mansiysk,61.0042,69.0019,5.06,100,40,2.0,RU,1729870145
408,zwedru,6.0667,-8.1281,30.65,58,55,1.53,LR,1729870147
409,queenstown,-31.8976,26.8753,21.97,39,3,7.04,ZA,1729869886
410,lerwick,60.1545,-1.1494,9.68,70,0,0.91,GB,1729870149
411,kamyzyak,46.11,48.0736,8.99,71,0,3.0,RU,1729870150
412,twon-brass,4.3151,6.2418,26.59,80,100,4.43,NG,1729870152
413,lovington,32.944,-103.3485,13.98,50,99,1.34,US,1729870153
414,vangaindrano,-23.35,47.6,23.15,83,10,4.74,MG,1729870156
415,kokopo,-4.352,152.2633,25.39,85,57,2.0,PG,1729870157
416,nagato,34.3833,131.2,18.85,81,96,1.41,JP,1729870158
